RT	SSD	accuracy	rt	stop_signal	subject_nr	target					
1356.00018501	350	undefined	0	0	0	right	incorrect_stop	undefined	incorrect_stop_undefined	0	2.6
-	-	-	-	-	-	-	-	-	rest	2.6	2.6
1358.00004005	300	undefined	0	1	0	right	correct_stop	undefined	correct_stop_undefined	5.2	2.6
-	-	-	-	-	-	-	-	-	rest	7.8	2.6
1311.00010872	300	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	10.4	2.6
-	-	-	-	-	-	-	-	-	rest	13	2.6
1310.9998703	300	undefined	0	0	0	right	incorrect_stop	undefined	incorrect_stop_undefined	15.6	2.6
-	-	-	-	-	-	-	-	-	rest	18.2	2.6
1306.9999218	300	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	20.8	2.6
-	-	-	-	-	-	-	-	-	rest	23.4	2.6
1301.00011826	300	undefined	0	0	0	right	incorrect_stop	undefined	incorrect_stop_undefined	26	2.6
-	-	-	-	-	-	-	-	-	rest	28.6	2.6
1305.99999428	300	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	31.2	2.6
-	-	-	-	-	-	-	-	-	rest	33.8	2.6
1312.00003624	250	undefined	0	1	0	right	correct_stop	undefined	correct_stop_undefined	36.4	2.6
-	-	-	-	-	-	-	-	-	rest	39	2.6
1252.00009346	250	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	41.6	2.6
-	-	-	-	-	-	-	-	-	rest	44.2	2.6
1258.00013542	250	undefined	0	0	0	right	incorrect_stop	undefined	incorrect_stop_undefined	46.8	2.6
-	-	-	-	-	-	-	-	-	rest	49.4	2.6
1252.00009346	250	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	52	2.6
-	-	-	-	-	-	-	-	-	rest	54.6	2.6
1256.99996948	250	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	57.2	2.6
-	-	-	-	-	-	-	-	-	rest	59.8	2.6
1251.00016594	250	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	62.4	2.6
-	-	-	-	-	-	-	-	-	rest	65	2.6
1253.00002098	200	undefined	0	1	0	right	correct_stop	undefined	correct_stop_undefined	67.6	2.6
-	-	-	-	-	-	-	-	-	rest	70.2	2.6
1210.99996567	150	undefined	0	1	0	right	correct_stop	undefined	correct_stop_undefined	72.8	2.6
-	-	-	-	-	-	-	-	-	rest	75.4	2.6
1157.99999237	150	undefined	0	0	0	left	incorrect_stop	undefined	incorrect_stop_undefined	78	2.6
-	-	-	-	-	-	-	-	-	rest	80.6	2.6
